id;name;simplified_name;simple_screen_name;screen_name;url;followers_count;classification;simple_class
69075899;Lisa DÇbora;lisa dÇbora;passarosErosas;"""passarosErosas""";https://twitter.com/passarosErosas;31119;feminista;F
96399946;Lola Aronovich;lola aronovich;lolaescreva;"""lolaescreva""";https://twitter.com/lolaescreva;141525;feminista;F
45713557;Louie Ponto;louie ponto;louieponto;"""louieponto""";https://twitter.com/louieponto;218008;feminista;F
7824028;Luciana Boiteux;luciana boiteux;luboiteux;"""luboiteux""";https://twitter.com/luboiteux;17600;feminista;F
70644106;Luciana Genro;luciana genro;lucianagenro;"""lucianagenro""";https://twitter.com/lucianagenro;263594;feminista;F
73184271;Luiza Erundina;luiza erundina;luizaerundina;"""luizaerundina""";https://twitter.com/luizaerundina;204157;feminista;F
5761618;Luiza Jun;luiza jun;luizajunquerida;"""luizajunquerida""";https://twitter.com/luizajunquerida;26153;feminista;F
73551600;Luyara Franco;luyara franco;luyarafranco;"""luyarafranco""";https://twitter.com/luyarafranco;25974;feminista;F
28548417;Manuela Barem;manuela barem;manubarem;"""manubarem""";https://twitter.com/manubarem;57911;feminista;F
55823189;Manuela D?µvila;manuela d?†vila;ManuelaDavila;"""ManuelaDavila""";https://twitter.com/ManuelaDavila;1065983;feminista;F
91091564;Marcha Mundial das Mulheres;marcha mundial das mulheres;marchamulheres;"""marchamulheres""";https://twitter.com/marchamulheres;22009;feminista;F
59885882;Marcia Tiburi;marcia tiburi;marciatiburi;"""marciatiburi""";https://twitter.com/marciatiburi;112493;feminista;F
76025754;Margarida Salom∆o;margarida salom∆o;JFMargarida;"""JFMargarida""";https://twitter.com/JFMargarida;63382;feminista;F
76570359;Mar°lia Arraes;mar°lia arraes;MariliaArraes;"""MariliaArraes""";https://twitter.com/MariliaArraes;33751;feminista;F
6677966;Mar°lia Moschkovich;mar°lia moschkovich;MariliaMoscou;"""MariliaMoscou""";https://twitter.com/MariliaMoscou;23363;feminista;F
25121434;MC Carol;mc carol;mc_caroloficial;"""mc_caroloficial""";https://twitter.com/mc_caroloficial;363581;feminista;F
14604765;Milly Lacombe;milly lacombe;millylacombe;"""millylacombe""";https://twitter.com/millylacombe;48154;feminista;F
3993594;Minas Programam;minas programam;minasprogramam;"""minasprogramam""";https://twitter.com/minasprogramam;3587;feminista;F
15758939;Mìnica Ben°cio;mìnica ben°cio;monica_benicio;"""monica_benicio""";https://twitter.com/monica_benicio;51151;feminista;F
10652896;Mìnica Bergamo;mìnica bergamo;monicabergamo;"""monicabergamo""";https://twitter.com/monicabergamo;1557888;feminista;F
35467477;Mìnica Francisco;mìnica francisco;MonicaFPsol;"""MonicaFPsol""";https://twitter.com/MonicaFPsol;28305;feminista;F
65527476;Monica Seixas;monica seixas;MonicaSeixas;"""MonicaSeixas""";https://twitter.com/MonicaSeixas;22234;feminista;F
86330034;N∆o me Kahlo;n∆o me kahlo;NAOKAHLO;"""NAOKAHLO""";https://twitter.com/NAOKAHLO;108976;feminista;F
40912431;Nat†lia Bonavides;nat†lia bonavides;natbonavides;"""natbonavides""";https://twitter.com/natbonavides;45853;feminista;F
96450303;N†taly Neri;n†taly neri;natalyneri;"""natalyneri""";https://twitter.com/natalyneri;262280;feminista;F
48926611;Nem Presa Nem Morta;nem presa nem morta;direitoaoaborto;"""direitoaoaborto""";https://twitter.com/direitoaoaborto;3880;feminista;F
7799250;Olhares Podcast;olhares podcast;OlharesPodcast;"""OlharesPodcast""";https://twitter.com/OlharesPodcast;10420;feminista;F
