Id,Label,timeset,no,nome_usuario,nome,pessoa,genero,20210215_seguidores,tam_rel_seguidores,ponto_ideal,estado,afiliacao,universidades,partido,saido,suspenso,posicao,profissoes,bio,genero_str,intersec1,intersec1_str,intersec2,intersec2_str,art_prod,polit_militan,jor_com,jus,mid,part_col,polic_militar,prof,saude,ciencia,emp,rel,out,art_prod_str,intersec3,intersec3_str,polit_militan_str,jor_com_str,jus_str,mid_str,part_col_str,polic_militar_str,prof_str,saude_str,ciencia_str,emp_str,rel_str,out_str,federal,federal_str,puc,puc_str,estadual,estadual_str,militar,militar_str,nome_usuario_raw,seguidores_analisados
brasil_paralelo,brasil_paralelo,,142,@brasil_paralelo,Brasil Paralelo,0,0,250684,0.037505,1.306806,,Brasil Paralelo,,,0,0,Antifeminista,"mídia, político",Twitter oficial do Brasil Paralelo. Torne-...,Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,1,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,brasil_paralelo,31520
BrazilFight,BrazilFight,,153,@BrazilFight,FamíliaDireitaBrasil,0,0,168662,0.025234,1.403122,,FamíliaDireitaBrasil,,,0,0,Antifeminista,"mídia, político","Brasileiro e patriota, reunindo os que que...",Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,1,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,BrazilFight,23787
brumelianebrum,brumelianebrum,,64,@brumelianebrum,Eliane Brum,1,1,333381,0.049878,-1.401738,RS,,PUC-RS,,0,0,Feminista,"jornalista, escritor, documentarista","Jornalista,escritora e documentarista, col...",Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,1,0,1,0,0,0,0,1,0,0,0,0,0,Artistas e Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Jornalistas e Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Professores, Intelectuais e Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,1,PUC,0,Não Estaduais,0,Não Militar,brumelianebrum,32221
brunakarlabk,brunakarlabk,,89,@brunakarlabk,Bruna Karla,1,1,1694653,0.253539,0.021424,RJ,,,,0,0,Antifeminista,"músico, religioso",facebook.com/BrunaKarlaOficial Site: http:...,Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,1,0,0,0,0,0,0,0,0,0,0,1,0,Artistas e Produtores,1,Músico e Religioso,Não Políticos ou Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,brunakarlabk,25680
BrunoEnglerDM,BrunoEnglerDM,,178,@BrunoEnglerDM,Bruno Engler,1,0,46353,0.006935,1.549531,PR,Direita Minas,PUC-Minas,PRTB,0,0,Antifeminista,político,Deputado Estadual MG (120.252 votos)  ➡️🔺<...,Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,1,PUC,0,Não Estaduais,0,Não Militar,BrunoEnglerDM,7274
cabojunioamaral,cabojunioamaral,,156,@cabojunioamaral,Junio Amaral,1,0,95150,0.014236,1.415577,MG,,,PSL,0,0,Antifeminista,"político, militar",🔰 Deputado Federal MG (158.541 votos) Bem ...,Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,0,0,1,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Policiais e Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,cabojunioamaral,13591
capitaoderrite,capitaoderrite,,148,@capitaoderrite,Capitão Derrite,1,0,128876,0.019281,1.362441,SP,,Academia de Polícia Militar do Barro Branco,Progressistas,0,0,Antifeminista,"militar, político","Deputado Federal por SP 2018, Oficial de R...",Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,0,0,1,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Policiais e Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,1,Militar,capitaoderrite,17137
carinavitral,carinavitral,,75,@carinavitral,Carina Vitral,1,1,26634,0.003985,-1.321101,SP,,PUC-SP,PCdoB,0,0,Feminista,político,Feminista e ex presidenta da União Naciona...,Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,1,PUC,0,Não Estaduais,0,Não Militar,carinavitral,5853
CarlaZambelli38,CarlaZambelli38,,134,@CarlaZambelli38,Carla Zambelli,1,1,1150672,0.172154,1.184482,SP,,"Universidade Nove de Julho, Fundação Getúlio Vargas, Universidade Federal de Uberlândia",PSL,0,0,Antifeminista,"político, escritor","Deputada Federal por SP, eleita a melhor D...",Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,0,0,0,1,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Professores, Intelectuais e Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,1,Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,CarlaZambelli38,83108
carlosaviana,carlosaviana,,103,@carlosaviana,Carlos Viana,1,0,41895,0.006268,0.513835,MG,,Universidade Federal de Minas Gerais,PSD,0,0,Antifeminista,"político, jornalista",Senador por Minas Gerais. Jornalista. Prof...,Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,1,0,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Jornalistas e Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,1,Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,carlosaviana,4698
