id,name,simplified_name,simple_screen_name,screen_name,url,followers_count,classification
3908443,Lana de Holanda,lana de holanda,lanadeholanda,"""lanadeholanda""",https://twitter.com/lanadeholanda,7621,feminista
56881751,Laura Carvalho,laura carvalho,lauraabcarvalho,"""lauraabcarvalho""",https://twitter.com/lauraabcarvalho,165690,feminista
60887857,Leci Brandão,leci brandão,lecibrandao,"""lecibrandao""",https://twitter.com/lecibrandao,81755,feminista
87302440,Letícia Parks,letícia parks,letparks,"""letparks""",https://twitter.com/letparks,25320,feminista
64852924,Linn da Quebrada,linn da quebrada,linndaquebrada,"""linndaquebrada""",https://twitter.com/linndaquebrada,130958,feminista
69075899,Lisa Débora,lisa débora,passarosErosas,"""passarosErosas""",https://twitter.com/passarosErosas,31119,feminista
96399946,Lola Aronovich,lola aronovich,lolaescreva,"""lolaescreva""",https://twitter.com/lolaescreva,141525,feminista
45713557,Louie Ponto,louie ponto,louieponto,"""louieponto""",https://twitter.com/louieponto,218008,feminista
7824028,Luciana Boiteux,luciana boiteux,luboiteux,"""luboiteux""",https://twitter.com/luboiteux,17600,feminista
70644106,Luciana Genro,luciana genro,lucianagenro,"""lucianagenro""",https://twitter.com/lucianagenro,263594,feminista
73184271,Luiza Erundina,luiza erundina,luizaerundina,"""luizaerundina""",https://twitter.com/luizaerundina,204157,feminista
5761618,Luiza Jun,luiza jun,luizajunquerida,"""luizajunquerida""",https://twitter.com/luizajunquerida,26153,feminista
73551600,Luyara Franco,luyara franco,luyarafranco,"""luyarafranco""",https://twitter.com/luyarafranco,25974,feminista
28548417,Manuela Barem,manuela barem,manubarem,"""manubarem""",https://twitter.com/manubarem,57911,feminista
55823189,Manuela D’Ávila,manuela d’ávila,ManuelaDavila,"""ManuelaDavila""",https://twitter.com/ManuelaDavila,1065983,feminista
91091564,Marcha Mundial das Mulheres,marcha mundial das mulheres,marchamulheres,"""marchamulheres""",https://twitter.com/marchamulheres,22009,feminista
59885882,Marcia Tiburi,marcia tiburi,marciatiburi,"""marciatiburi""",https://twitter.com/marciatiburi,112493,feminista
76025754,Margarida Salomão,margarida salomão,JFMargarida,"""JFMargarida""",https://twitter.com/JFMargarida,63382,feminista
76570359,Marília Arraes,marília arraes,MariliaArraes,"""MariliaArraes""",https://twitter.com/MariliaArraes,33751,feminista
6677966,Marília Moschkovich,marília moschkovich,MariliaMoscou,"""MariliaMoscou""",https://twitter.com/MariliaMoscou,23363,feminista
25121434,MC Carol,mc carol,mc_caroloficial,"""mc_caroloficial""",https://twitter.com/mc_caroloficial,363581,feminista
14604765,Milly Lacombe,milly lacombe,millylacombe,"""millylacombe""",https://twitter.com/millylacombe,48154,feminista
3993594,Minas Programam,minas programam,minasprogramam,"""minasprogramam""",https://twitter.com/minasprogramam,3587,feminista
15758939,Mônica Benício,mônica benício,monica_benicio,"""monica_benicio""",https://twitter.com/monica_benicio,51151,feminista
10652896,Mônica Bergamo,mônica bergamo,monicabergamo,"""monicabergamo""",https://twitter.com/monicabergamo,1557888,feminista
35467477,Mônica Francisco,mônica francisco,MonicaFPsol,"""MonicaFPsol""",https://twitter.com/MonicaFPsol,28305,feminista
65527476,Monica Seixas,monica seixas,MonicaSeixas,"""MonicaSeixas""",https://twitter.com/MonicaSeixas,22234,feminista
86330034,Não me Kahlo,não me kahlo,NAOKAHLO,"""NAOKAHLO""",https://twitter.com/NAOKAHLO,108976,feminista
40912431,Natália Bonavides,natália bonavides,natbonavides,"""natbonavides""",https://twitter.com/natbonavides,45853,feminista
96450303,Nátaly Neri,nátaly neri,natalyneri,"""natalyneri""",https://twitter.com/natalyneri,262280,feminista
48926611,Nem Presa Nem Morta,nem presa nem morta,direitoaoaborto,"""direitoaoaborto""",https://twitter.com/direitoaoaborto,3880,feminista
7799250,Olhares Podcast,olhares podcast,OlharesPodcast,"""OlharesPodcast""",https://twitter.com/OlharesPodcast,10420,feminista
2776912,ONU Mulheres,onu mulheres,ONUMulheresBR,"""ONUMulheresBR""",https://twitter.com/ONUMulheresBR,28753,feminista
85998517,Paola Carosella,paola carosella,PaolaCarosella,"""PaolaCarosella""",https://twitter.com/PaolaCarosella,1424511,feminista
34661128,Perpétua Almeida,perpétua almeida,perpetua_acre,"""perpetua_acre""",https://twitter.com/perpetua_acre,17949,feminista
68736466,Petra Costa,petra costa,petracostal,"""petracostal""",https://twitter.com/petracostal,204252,feminista
41496314,Preta Ijimú,preta ijimú,Nailahnv,"""Nailahnv""",https://twitter.com/Nailahnv,45344,feminista
16032776,Preta Nerd,preta nerd,pretaenerd,"""pretaenerd""",https://twitter.com/pretaenerd,4709,feminista
78971818,QG feminista,qg feminista,QGfeminista,"""QGfeminista""",https://twitter.com/QGfeminista,11375,feminista
42607468,Renata Souza,renata souza,renatasouzario,"""renatasouzario""",https://twitter.com/renatasouzario,38798,feminista
35682916,Revista AzMina,revista azmina,revistaazmina,"""revistaazmina""",https://twitter.com/revistaazmina,22397,feminista
11955870,Rita Lisaukas,rita lisaukas,RitaLisauskas,"""RitaLisauskas""",https://twitter.com/RitaLisauskas,78499,feminista
75603155,Rosa Neide,rosa neide,prof_rosaneide,"""prof_rosaneide""",https://twitter.com/prof_rosaneide,9321,feminista
49964943,Rosana Pinheiro-Machado,rosana pinheiro-machado,_pinheira,"""_pinheira""",https://twitter.com/_pinheira,123419,feminista
30014316,Sabrina Fernandes,sabrina fernandes,safbf,"""safbf""",https://twitter.com/safbf,192090,feminista
9922371,Sâmia Bomfim,sâmia bomfim,samiabomfim,"""samiabomfim""",https://twitter.com/samiabomfim,333578,feminista
73158084,Santuzza,santuzza,santuzza_souza,"""santuzza_souza""",https://twitter.com/santuzza_souza,14464,feminista
52775699,Sher Machado,sher machado,transcurecer,"""transcurecer""",https://twitter.com/transcurecer,25063,feminista
11041469,Silvia Ferraro,silvia ferraro,silviaferraro_,"""silviaferraro_""",https://twitter.com/silviaferraro_,6348,feminista
29013383,SomosTodosfeministas,somostodosfeministas,Todosfeministas,"""Todosfeministas""",https://twitter.com/Todosfeministas,4075,feminista
14569423,Sonia Guajajara,sonia guajajara,GuajajaraSonia,"""GuajajaraSonia""",https://twitter.com/GuajajaraSonia,89654,feminista
89395489,Stephanie Ribeiro,stephanie ribeiro,RibSte,"""RibSte""",https://twitter.com/RibSte,58696,feminista
8856274,Sueli Carneiro,sueli carneiro,SueliCarneiro,"""SueliCarneiro""",https://twitter.com/SueliCarneiro,31020,feminista
59103146,Suzane Jardim,suzane jardim,jardim_suzane,"""jardim_suzane""",https://twitter.com/jardim_suzane,18838,feminista
95358326,Talíria Petrone,talíria petrone,taliriapetrone,"""taliriapetrone""",https://twitter.com/taliriapetrone,235902,feminista
77159829,Tati Nefertari,tati nefertari,TatiNefertari,"""TatiNefertari""",https://twitter.com/TatiNefertari,67146,feminista
95361506,Tatiana Roque,tatiana roque,tatiroque,"""tatiroque""",https://twitter.com/tatiroque,32779,feminista
93973788,Tese Onze,tese onze,teseonze,"""teseonze""",https://twitter.com/teseonze,28145,feminista
8151172,Thiessa,thiessa,thiessita,"""thiessita""",https://twitter.com/thiessita,24662,feminista
93641221,Triscila Oliveira,triscila oliveira,soulanja,"""soulanja""",https://twitter.com/soulanja,9666,feminista
28499160,Universidade Livre feminista,universidade livre feminista,Ulivrefeminista,"""Ulivrefeminista""",https://twitter.com/Ulivrefeminista,3416,feminista
43628965,Vulva Revolução,vulva revolução,vulvarevolucao,"""vulvarevolucao""",https://twitter.com/vulvarevolucao,4174,feminista
52351967,Winnie Bueno,winnie bueno,winniebueno,"""winniebueno""",https://twitter.com/winniebueno,128426,feminista
97330194,Yasmin Morais,yasmin morais,yasmin__morais,"""yasmin__morais""",https://twitter.com/yasmin__morais,2288,feminista
61031605,Abraham Weintraub,abraham weintraub,AbrahamWeint,"""AbrahamWeint""",https://twitter.com/AbrahamWeint,947978,antifeminista
79776824,Ailton Benedito,ailton benedito,AiltonBenedito,"""AiltonBenedito""",https://twitter.com/AiltonBenedito,213702,antifeminista
39918113,Alê Silva,alê silva,alesilva_38,"""alesilva_38""",https://twitter.com/alesilva_38,124383,antifeminista
63829718,Alexandre Aleluia,alexandre aleluia,AlexAleluia,"""AlexAleluia""",https://twitter.com/AlexAleluia,28481,antifeminista
92333135,Alexandre Garcia,alexandre garcia,alexandregarcia,"""alexandregarcia""",https://twitter.com/alexandregarcia,2766653,antifeminista
4097056,Aliança pelo Brasil,aliança pelo brasil,somosalianca,"""somosalianca""",https://twitter.com/somosalianca,291405,antifeminista
20863228,Aline Barros,aline barros,alinebarros,"""alinebarros""",https://twitter.com/alinebarros,4788095,antifeminista
94609403,Ana Paula Henkel,ana paula henkel,AnaPaulaVolei,"""AnaPaulaVolei""",https://twitter.com/AnaPaulaVolei,697752,antifeminista
92137887,Ana Paula Valadão Bessa,ana paula valadão bessa,anapaulavaladao,"""anapaulavaladao""",https://twitter.com/anapaulavaladao,1551713,antifeminista
80176526,André Fernandes,andré fernandes,andrefernm,"""andrefernm""",https://twitter.com/andrefernm,158174,antifeminista
85411437,André Valadão,andré valadão,andrevaladao,"""andrevaladao""",https://twitter.com/andrevaladao,1277640,antifeminista
1948104,Arolde de Oliveira,arolde de oliveira,AroldeOliveira,"""AroldeOliveira""",https://twitter.com/AroldeOliveira,71759,antifeminista
66303303,Arthur Weintraub,arthur weintraub,ArthurWeint,"""ArthurWeint""",https://twitter.com/ArthurWeint,546241,antifeminista
36892329,Bia Kicis,bia kicis,Biakicis,"""Biakicis""",https://twitter.com/Biakicis,685842,antifeminista
73653366,Bibo Nunes,bibo nunes,bibonunes1,"""bibonunes1""",https://twitter.com/bibonunes1,168169,antifeminista
85900458,Brasil Paralelo,brasil paralelo,brasil_paralelo,"""brasil_paralelo""",https://twitter.com/brasil_paralelo,211445,antifeminista
66386633,Brasil sem aborto,brasil sem aborto,brasilsemaborto,"""brasilsemaborto""",https://twitter.com/brasilsemaborto,4887,antifeminista
33540828,Bruna Karla,bruna karla,brunakarlabk,"""brunakarlabk""",https://twitter.com/brunakarlabk,1684929,antifeminista
38104827,Bruno Engler,bruno engler,BrunoEnglerDM,"""BrunoEnglerDM""",https://twitter.com/BrunoEnglerDM,31730,antifeminista
96954968,Caneta Desesquerdizadora,caneta desesquerdizadora,Desesquerdizada,"""Desesquerdizada""",https://twitter.com/Desesquerdizada,295331,antifeminista
67195246,Capitão Assumção,capitão assumção,capitaoassumcao,"""capitaoassumcao""",https://twitter.com/capitaoassumcao,14369,antifeminista
75155558,Capitão Derrite,capitão derrite,capitaoderrite,"""capitaoderrite""",https://twitter.com/capitaoderrite,123226,antifeminista
59744995,Carla Zambelli,carla zambelli,CarlaZambelli38,"""CarlaZambelli38""",https://twitter.com/CarlaZambelli38,1039567,antifeminista
21508279,Carlos Bolsonaro,carlos bolsonaro,CarlosBolsonaro,"""CarlosBolsonaro""",https://twitter.com/CarlosBolsonaro,2002607,antifeminista
49459781,Carlos Jordy,carlos jordy,carlosjordy,"""carlosjordy""",https://twitter.com/carlosjordy,370582,antifeminista
80226624,Carlos Viana,carlos viana,carlosaviana,"""carlosaviana""",https://twitter.com/carlosaviana,40210,antifeminista
13911621,Carmelo Neto,carmelo neto,carmelonetobr,"""carmelonetobr""",https://twitter.com/carmelonetobr,120520,antifeminista
36362274,Caroline de Toni,caroline de toni,CarolDeToni,"""CarolDeToni""",https://twitter.com/CarolDeToni,377132,antifeminista
28392494,Chris Tonietto,chris tonietto,ToniettoChris,"""ToniettoChris""",https://twitter.com/ToniettoChris,51135,antifeminista
32428576,Clau de Luca,clau de luca,ClaudeLuca_,"""ClaudeLuca_""",https://twitter.com/ClaudeLuca_,41014,antifeminista
18856627,Coalizão Conservadora,coalizão conservadora,coalizaosc,"""coalizaosc""",https://twitter.com/coalizaosc,8161,antifeminista
53157752,Conexão Política,conexão política,conexaopolitica,"""conexaopolitica""",https://twitter.com/conexaopolitica,533906,antifeminista
63131391,Crítica Nacional,crítica nacional,criticanac,"""criticanac""",https://twitter.com/criticanac,103836,antifeminista
92983377,Damares Alves,damares alves,DamaresAlves,"""DamaresAlves""",https://twitter.com/DamaresAlves,1147768,antifeminista
76816238,Daniel Freitas,daniel freitas,DFDanielFreitas,"""DFDanielFreitas""",https://twitter.com/DFDanielFreitas,24122,antifeminista
13990338,Daniel Silveira,daniel silveira,danielPMERJ,"""danielPMERJ""",https://twitter.com/danielPMERJ,98240,antifeminista
66934039,David M. Quinlan,david m. quinlan,DavidMQuinlan,"""DavidMQuinlan""",https://twitter.com/DavidMQuinlan,578275,antifeminista
10929592,Davy Albuquerque,davy albuquerque,AlbuquerqueDavy,"""AlbuquerqueDavy""",https://twitter.com/AlbuquerqueDavy,121166,antifeminista
35125513,Direita Goias,direita goias,direitagoiasofc,"""direitagoiasofc""",https://twitter.com/direitagoiasofc,15097,antifeminista
5411446,Direita Minas,direita minas,direitaminas,"""direitaminas""",https://twitter.com/direitaminas,33017,antifeminista
13473239,Dom Lancellotti,dom lancellotti,domlancellotti,"""domlancellotti""",https://twitter.com/domlancellotti,41399,antifeminista
44838419,Douglas Garcia,douglas garcia,DouglasGarcia,"""DouglasGarcia""",https://twitter.com/DouglasGarcia,240514,antifeminista
53207999,Dra. Soraya Manato,dra. soraya manato,DraManato,"""DraManato""",https://twitter.com/DraManato,23725,antifeminista
29599052,Éder Mauro,éder mauro,EderMauroPA,"""EderMauroPA""",https://twitter.com/EderMauroPA,76341,antifeminista
700017,Edir Macedo,edir macedo,BispoMacedo,"""BispoMacedo""",https://twitter.com/BispoMacedo,452272,antifeminista
1411767,Edson Salomão,edson salomão,edsonsalomaosp,"""edsonsalomaosp""",https://twitter.com/edsonsalomaosp,50405,antifeminista
60196969,Eduardo Bolsonaro,eduardo bolsonaro,BolsonaroSP,"""BolsonaroSP""",https://twitter.com/BolsonaroSP,2021352,antifeminista
8690109,Elmano Férrer,elmano férrer,elmanoferrer,"""elmanoferrer""",https://twitter.com/elmanoferrer,7354,antifeminista
90477636,Ernesto Araújo,ernesto araújo,ernestofaraujo,"""ernestofaraujo""",https://twitter.com/ernestofaraujo,721957,antifeminista
3917076,Escola Sem Partido,escola sem partido,escolasempartid,"""escolasempartid""",https://twitter.com/escolasempartid,123040,antifeminista
27495470,Fabiana Barroso,fabiana barroso,fabifbbr,"""fabifbbr""",https://twitter.com/fabifbbr,126424,antifeminista
1098449,Fábio Faria,fábio faria,fabiofaria5555,"""fabiofaria5555""",https://twitter.com/fabiofaria5555,138227,antifeminista
89553701,Família Direita Brasil,família direita brasil,BrazilFight,"""BrazilFight""",https://twitter.com/BrazilFight,162300,antifeminista
26558146,Felipe Francischini,felipe francischini,FFrancischini_,"""FFrancischini_""",https://twitter.com/FFrancischini_,96637,antifeminista
60758266,Fernanda Barth,fernanda barth,fernandabarth,"""fernandabarth""",https://twitter.com/fernandabarth,13274,antifeminista
77099070,Fernanda Brum,fernanda brum,PraFeBrum,"""PraFeBrum""",https://twitter.com/PraFeBrum,2395363,antifeminista
75425603,Fernanda Salles,fernanda salles,reportersalles,"""reportersalles""",https://twitter.com/reportersalles,162648,antifeminista
69650715,Fernando Holiday,fernando holiday,FernandoHoliday,"""FernandoHoliday""",https://twitter.com/FernandoHoliday,281183,antifeminista
36579432,Filipe Barros,filipe barros,filipebarrost,"""filipebarrost""",https://twitter.com/filipebarrost,375159,antifeminista
35041716,Filipe C. Pedri,filipe c. pedri,FelipePedri,"""FelipePedri""",https://twitter.com/FelipePedri,57882,antifeminista
99267909,Filipe G. Martins,filipe g. martins,filgmartin,"""filgmartin""",https://twitter.com/filgmartin,335100,antifeminista
4866127,Flávio Bolsonaro,flávio bolsonaro,FlavioBolsonaro,"""FlavioBolsonaro""",https://twitter.com/FlavioBolsonaro,1586896,antifeminista
70595229,Fora Feminismo,fora feminismo,forafeminismo,"""forafeminismo""",https://twitter.com/forafeminismo,3896,antifeminista
39263680,Gabrielle Burcci,gabrielle burcci,gabrielleburcci,"""gabrielleburcci""",https://twitter.com/gabrielleburcci,6466,antifeminista
17328553,Gil Diniz,gil diniz,carteiroreaca,"""carteiroreaca""",https://twitter.com/carteiroreaca,203708,antifeminista
89825884,Girão Monteiro,girão monteiro,GeneralGirao,"""GeneralGirao""",https://twitter.com/GeneralGirao,141248,antifeminista
5762634,Heitor Freire,heitor freire,HeitorFreireCE,"""HeitorFreireCE""",https://twitter.com/HeitorFreireCE,19881,antifeminista
26103839,Helio Lopes,helio lopes,depheliolopes,"""depheliolopes""",https://twitter.com/depheliolopes,287950,antifeminista
12063968,Henrique Oliveira,henrique oliveira,henriolliveira,"""henriolliveira""",https://twitter.com/henriolliveira,79392,antifeminista
36974519,Italo Lorenzon,italo lorenzon,LorenzonItalo,"""LorenzonItalo""",https://twitter.com/LorenzonItalo,213867,antifeminista
52249662,Izalci Lucas,izalci lucas,IzalciLucas,"""IzalciLucas""",https://twitter.com/IzalciLucas,9440,antifeminista
55376907,Jair Bolsonaro,jair bolsonaro,jairbolsonaro,"""jairbolsonaro""",https://twitter.com/jairbolsonaro,6668621,antifeminista
64771568,Jornal Brasil Sem Medo,jornal brasil sem medo,JornalBSM,"""JornalBSM""",https://twitter.com/JornalBSM,273306,antifeminista
22927600,José Medeiros,josé medeiros,JoseMedeirosMT,"""JoseMedeirosMT""",https://twitter.com/JoseMedeirosMT,116208,antifeminista
93674441,Jouberth Souza,jouberth souza,Jouberth19,"""Jouberth19""",https://twitter.com/Jouberth19,127680,antifeminista
81248944,Julian Lemos Deputado Federal,julian lemos deputado federal,JulianLemosopb1,"""JulianLemosopb1""",https://twitter.com/JulianLemosopb1,8891,antifeminista
32591336,Junio Amaral,junio amaral,cabojunioamaral,"""cabojunioamaral""",https://twitter.com/cabojunioamaral,86873,antifeminista
41386381,Karina Kufa,karina kufa,KarinaKufa,"""KarinaKufa""",https://twitter.com/KarinaKufa,58881,antifeminista
98355741,Katia Sastre,katia sastre,KatiaSastre,"""KatiaSastre""",https://twitter.com/KatiaSastre,13732,antifeminista
78662214,Kim Katagiri,kim katagiri,kimpkat,"""kimpkat""",https://twitter.com/kimpkat,573453,antifeminista
64486412,Leandro Lyra,leandro lyra,leandrolyrarj,"""leandrolyrarj""",https://twitter.com/leandrolyrarj,26418,antifeminista
35229995,Leandro Ruschel,leandro ruschel,leandroruschel,"""leandroruschel""",https://twitter.com/leandroruschel,411627,antifeminista
38788479,Leticia Aguiar,leticia aguiar,letsaguiar,"""letsaguiar""",https://twitter.com/letsaguiar,22361,antifeminista
89289479,Liliane Ventura,liliane ventura,LILIANEVENTURA,"""LILIANEVENTURA""",https://twitter.com/LILIANEVENTURA,12945,antifeminista
63176050,Liomar de Oliveira,liomar de oliveira,PastorLiomar,"""PastorLiomar""",https://twitter.com/PastorLiomar,38299,antifeminista
91540727,Luiz Camargo Vlog,luiz camargo vlog,LuizCamargoVlog,"""LuizCamargoVlog""",https://twitter.com/LuizCamargoVlog,84087,antifeminista
27733464,Luiz P. O. Bragança,luiz p. o. bragança,lpbragancabr,"""lpbragancabr""",https://twitter.com/lpbragancabr,548424,antifeminista
44454849,Magno Malta,magno malta,MagnoMalta,"""MagnoMalta""",https://twitter.com/MagnoMalta,863032,antifeminista
